short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,459850,1,5261075,459826,False,chromosome
2,374824,1,5261075,374824,False,chromosome
3,342020,1,5261075,337741,False,chromosome
4,311547,1,5261075,311547,False,chromosome
5,293577,1,5261075,293577,False,chromosome
6,243156,1,5261075,243156,False,chromosome
7,231015,1,5261075,231015,False,chromosome
8,226030,1,5261075,226030,False,chromosome
9,210362,1,5261075,210362,False,chromosome
10,203915,1,5261075,203915,False,chromosome
11,185469,1,5261075,185469,False,chromosome
12,182523,1,5261075,182523,False,chromosome
13,180421,1,5261075,180421,False,chromosome
14,162418,1,5261075,162418,False,chromosome
15,135531,1,5261075,135527,False,chromosome
16,131089,1,5261075,131089,False,chromosome
17,121770,3,245210,121724,True,plasmid
18,121605,1,5261075,114971,False,chromosome
19,100224,1,5261075,100224,False,chromosome
20,95524,1,5261075,95524,False,chromosome
21,95381,1,5261075,95381,False,chromosome
22,92999,1,5261075,92999,False,chromosome
23,92977,1,5261075,92977,False,chromosome
24,92721,1,5261075,92721,False,chromosome
25,77216,1,5261075,77216,False,chromosome
26,72757,1,5261075,72757,False,chromosome
27,69311,1,5261075,69311,False,chromosome
28,68004,2,274752,68004,True,plasmid
29,65643,1,5261075,65643,False,chromosome
30,64804,1,5261075,64803,False,chromosome
31,52733,1,5261075,52733,False,chromosome
32,52057,2,274752,52057,True,plasmid
33,50664,1,5261075,50664,False,chromosome
34,41969,3,245210,41950,True,plasmid
35,36056,4,54032,36056,True,plasmid
36,34270,1,5261075,34270,False,chromosome
37,26053,1,5261075,26053,False,chromosome
38,22738,1,5261075,22738,False,chromosome
39,21331,3,245210,21331,True,plasmid
40,21004,1,5261075,21004,False,chromosome
41,20939,2,274752,20939,True,plasmid
42,20600,2,274752,20600,True,plasmid
43,19891,1,5261075,19891,False,chromosome
44,18033,1,5261075,18033,False,chromosome
45,15174,2,274752,15174,True,plasmid
46,13690,1,5261075,13690,False,chromosome
47,11889,3,245210,11889,True,plasmid
48,11589,1,5261075,11589,False,chromosome
49,10324,2,274752,10324,True,plasmid
50,8533,2,274752,4888,True,plasmid
51,7910,4,54032,7910,True,plasmid
52,7808,2,274752,7808,True,plasmid
53,7743,2,274752,7743,True,plasmid
54,7041,1,5261075,7041,False,chromosome
55,6819,3,245210,6819,True,plasmid
56,6312,3,245210,6312,True,plasmid
57,5069,1,5261075,5069,False,chromosome
58,4840,3,245210,4840,True,plasmid
59,4534,2,274752,4534,True,plasmid
60,4370,2,274752,4370,True,plasmid
61,4238,4,54032,4238,True,plasmid
62,4218,1,5261075,4218,False,chromosome
63,3243,3,245210,3243,True,plasmid
64,3055,2,274752,3055,True,plasmid
65,3042,2,274752,3042,True,plasmid
66,2654,1,5261075,209,False,chromosome
67,2518,3,245210,2512,True,plasmid
69,1699,2,274752,1699,True,plasmid
70,1637,3,245210,1634,True,plasmid
71,1398,2,274752,1398,True,plasmid
72,1362,1,5261075,1362,False,chromosome
73,1349,3,245210,1349,True,plasmid
74,1280,NA,NA,1280,NA,ambiguous
75,1205,1,5261075,1205,False,chromosome
76,1118,3,245210,1118,True,plasmid
77,1098,NA,NA,1098,NA,ambiguous
78,1042,3,245210,1041,True,plasmid
79,1013,1,5261075,1013,False,chromosome
81,656,2,274752,656,True,plasmid
82,637,1,5261075,636,False,chromosome
83,637,2,274752,637,True,plasmid
84,580,4,54032,580,True,plasmid
89,305,2,274752,305,True,plasmid
90,270,1,5261075,270,False,chromosome
94,215,1,5261075,215,False,chromosome
96,190,2,274752,190,True,plasmid
97,133,1,5261075,133,False,chromosome
