short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,356995,1,5183531,356995,True,chromosome
2,353517,1,5183531,353517,True,chromosome
3,283025,1,5183531,283025,True,chromosome
4,271511,1,5183531,221060,True,chromosome
5,260422,1,5183531,260422,True,chromosome
6,253669,1,5183531,253669,True,chromosome
7,246574,1,5183531,246574,True,chromosome
8,242272,1,5183531,242272,True,chromosome
9,219241,1,5183531,219241,True,chromosome
10,206343,1,5183531,206343,True,chromosome
11,186719,1,5183531,186712,True,chromosome
12,185195,1,5183531,185195,True,chromosome
13,158175,1,5183531,158175,True,chromosome
14,156227,1,5183531,156227,True,chromosome
15,144009,1,5183531,144009,True,chromosome
16,127418,1,5183531,127418,True,chromosome
17,108994,1,5183531,108994,True,chromosome
18,98214,1,5183531,98214,True,chromosome
19,97090,1,5183531,97090,True,chromosome
20,86420,1,5183531,86420,True,chromosome
21,78971,1,5183531,78971,True,chromosome
22,78195,1,5183531,78195,True,chromosome
23,73016,1,5183531,73016,True,chromosome
24,72301,1,5183531,72301,True,chromosome
25,67654,1,5183531,67654,True,chromosome
26,66361,2,243470,66357,True,plasmid
27,65968,1,5183531,65968,True,chromosome
28,63366,1,5183531,63366,True,chromosome
29,59028,1,5183531,59028,True,chromosome
30,57267,2,243470,57267,True,plasmid
31,55249,1,5183531,55249,True,chromosome
32,53786,1,5183531,53786,True,chromosome
33,47997,3,117306,47997,True,plasmid
34,45694,1,5183531,45694,True,chromosome
35,41599,1,5183531,41599,True,chromosome
36,40372,1,5183531,40372,True,chromosome
37,39474,4,77967,39474,True,plasmid
38,38800,1,5183531,38800,True,chromosome
39,36730,5,36730,36730,False,no_label
40,34185,1,5183531,34185,True,chromosome
41,31959,1,5183531,31959,True,chromosome
42,31018,1,5183531,31018,True,chromosome
43,28995,1,5183531,28995,True,chromosome
44,28992,1,5183531,28992,True,chromosome
45,26058,1,5183531,26058,True,chromosome
46,22279,4,77967,12463,True,plasmid
47,22193,2,243470,22193,True,plasmid
48,19745,2,243470,19745,True,plasmid
49,15923,2,243470,15923,True,plasmid
50,14288,2,243470,14288,True,plasmid
51,13711,3,117306,13711,True,plasmid
52,9266,2,243470,9266,True,plasmid
53,7818,3,117306,4610,True,plasmid
54,7475,3,117306,7475,True,plasmid
55,7389,2,243470,7389,True,plasmid
56,7366,6,10702,7366,True,plasmid
57,6848,4,77967,6848,True,plasmid
58,6839,3,117306,6839,True,plasmid
59,6724,3,117306,6724,True,plasmid
60,6707,3,117306,6707,True,plasmid
61,5908,1,5183531,5908,True,chromosome
62,5214,1,5183531,5214,True,chromosome
63,5161,2,243470,5161,True,plasmid
64,4958,2,243470,4958,True,plasmid
65,4501,1,5183531,4501,True,chromosome
66,4442,1,5183531,4442,True,chromosome
67,4288,1,5183531,4288,True,chromosome
68,4181,1,5183531,4181,True,chromosome
69,3516,2,243470,3516,True,plasmid
70,3315,3,117306,3313,True,plasmid
71,2967,3,117306,2962,True,plasmid
72,2737,1,5183531,2737,True,chromosome
73,2663,4,77967,2663,True,plasmid
74,2152,2,243470,2152,True,plasmid
75,2061,4,77967,2061,True,plasmid
76,1972,1,5183531,1972,True,chromosome
77,1914,1,5183531,1914,True,chromosome
78,1847,3,117306,1847,True,plasmid
79,1748,1,5183531,1748,True,chromosome
80,1691,1,5183531,1691,True,chromosome
81,1667,1,5183531,1667,True,chromosome
82,1652,4,77967,1652,True,plasmid
83,1495,2,243470,1495,True,plasmid
84,1437,3,117306,1437,True,plasmid
85,1400,3,117306,1400,True,plasmid
86,1379,1,5183531,1379,True,chromosome
87,1331,NA,NA,1331,NA,ambiguous
88,1246,6,10702,1246,True,plasmid
89,1150,2,243470,1150,True,plasmid
90,1054,3,117306,1054,True,plasmid
91,863,1,5183531,863,True,chromosome
92,734,1,5183531,734,True,chromosome
93,661,1,5183531,661,True,chromosome
94,659,3,117306,659,True,plasmid
95,607,3,117306,607,True,plasmid
96,598,2,243470,598,True,plasmid
97,576,4,77967,576,True,plasmid
98,526,1,5183531,526,True,chromosome
99,500,2,243470,500,True,plasmid
100,447,3,117306,447,True,plasmid
101,440,1,5183531,440,True,chromosome
102,425,1,5183531,425,True,chromosome
103,402,4,77967,402,True,plasmid
104,398,1,5183531,398,True,chromosome
105,352,1,5183531,352,True,chromosome
106,339,1,5183531,339,True,chromosome
107,282,4,77967,282,True,plasmid
108,257,6,10702,257,True,plasmid
110,197,1,5183531,197,True,chromosome
111,183,1,5183531,183,True,chromosome
112,183,1,5183531,183,True,chromosome
113,180,1,5183531,180,True,chromosome
114,180,1,5183531,180,True,chromosome
115,176,1,5183531,176,True,chromosome
116,174,1,5183531,174,True,chromosome
117,173,6,10702,173,True,plasmid
118,167,1,5183531,167,True,chromosome
119,161,3,117306,161,True,plasmid
120,158,1,5183531,158,True,chromosome
121,155,NA,NA,155,NA,ambiguous
122,155,NA,NA,155,NA,ambiguous
123,151,NA,NA,151,NA,ambiguous
124,147,1,5183531,147,True,chromosome
125,147,1,5183531,147,True,chromosome
126,138,1,5183531,138,True,chromosome
127,136,NA,NA,136,NA,ambiguous
129,135,NA,NA,135,NA,ambiguous
130,134,1,5183531,134,True,chromosome
131,130,1,5183531,130,True,chromosome
133,125,4,77967,125,True,plasmid
135,107,1,5183531,107,True,chromosome
136,106,NA,NA,106,NA,ambiguous
137,104,1,5183531,104,True,chromosome
138,101,1,5183531,101,True,chromosome
139,100,3,117306,100,True,plasmid
