short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,1494039,1,1705159,808422,True,chromosome
2,622284,3,1494879,622284,False,chromosome
3,582534,2,1652037,582534,False,chromosome
4,326756,2,1652037,326756,False,chromosome
5,290370,3,1494879,290370,False,chromosome
6,205776,1,1705159,205772,True,chromosome
7,174685,2,1652037,174685,False,chromosome
8,172452,4,172452,172452,False,no_label
9,163816,3,1494879,163816,False,chromosome
10,127789,3,1494879,127789,False,chromosome
11,123651,2,1652037,123651,False,chromosome
12,88665,2,1652037,88665,False,chromosome
13,83306,2,1652037,83306,False,chromosome
14,81888,2,1652037,81888,False,chromosome
15,79295,3,1494879,79295,False,chromosome
16,54323,2,1652037,54323,False,chromosome
17,51133,5,51133,51133,False,no_label
18,35618,2,1652037,35618,False,chromosome
19,34350,2,1652037,34350,False,chromosome
20,32257,3,1494879,32257,False,chromosome
21,32064,3,1494879,32064,False,chromosome
22,17809,3,1494879,17809,False,chromosome
23,11299,3,1494879,11299,False,chromosome
24,11245,3,1494879,11245,False,chromosome
25,11058,3,1494879,11058,False,chromosome
26,10705,3,1494879,10705,False,chromosome
27,10633,3,1494879,10633,False,chromosome
28,9071,3,1494879,9071,False,chromosome
29,7124,3,1494879,7124,False,chromosome
30,4940,3,1494879,4939,False,chromosome
31,4675,2,1652037,4675,False,chromosome
32,2624,3,1494879,2624,False,chromosome
33,2337,3,1494879,2337,False,chromosome
34,2227,1,1705159,2227,True,chromosome
35,2003,3,1494879,2001,False,chromosome
36,1990,3,1494879,1987,False,chromosome
37,1933,3,1494879,1926,False,chromosome
38,1484,3,1494879,1484,False,chromosome
39,1229,3,1494879,1229,False,chromosome
40,1185,2,1652037,1185,False,chromosome
41,1164,3,1494879,1164,False,chromosome
42,1083,3,1494879,1083,False,chromosome
43,1043,3,1494879,1038,False,chromosome
44,1016,3,1494879,1016,False,chromosome
45,975,3,1494879,975,False,chromosome
46,964,3,1494879,964,False,chromosome
47,844,3,1494879,844,False,chromosome
48,809,3,1494879,809,False,chromosome
49,802,3,1494879,802,False,chromosome
50,781,3,1494879,781,False,chromosome
51,768,3,1494879,768,False,chromosome
52,766,3,1494879,766,False,chromosome
53,721,2,1652037,721,False,chromosome
54,677,3,1494879,675,False,chromosome
55,644,3,1494879,644,False,chromosome
56,554,3,1494879,554,False,chromosome
57,539,3,1494879,539,False,chromosome
58,476,3,1494879,476,False,chromosome
59,399,2,1652037,399,False,chromosome
60,377,3,1494879,377,False,chromosome
61,366,3,1494879,366,False,chromosome
62,364,3,1494879,364,False,chromosome
63,331,3,1494879,331,False,chromosome
64,313,6,313,313,False,no_label
65,310,3,1494879,310,False,chromosome
66,299,3,1494879,299,False,chromosome
67,296,2,1652037,296,False,chromosome
68,295,3,1494879,295,False,chromosome
69,269,3,1494879,269,False,chromosome
70,262,3,1494879,262,False,chromosome
71,256,3,1494879,256,False,chromosome
72,250,7,250,250,False,no_label
73,244,2,1652037,244,False,chromosome
74,229,3,1494879,229,False,chromosome
75,209,2,1652037,209,False,chromosome
76,205,2,1652037,205,False,chromosome
77,199,8,199,199,False,no_label
78,195,9,195,195,False,no_label
79,193,3,1494879,193,False,chromosome
80,190,3,1494879,190,False,chromosome
81,185,3,1494879,185,False,chromosome
82,177,3,1494879,177,False,chromosome
83,176,3,1494879,176,False,chromosome
84,174,2,1652037,174,False,chromosome
85,167,3,1494879,167,False,chromosome
86,161,10,161,161,False,no_label
87,160,2,1652037,160,False,chromosome
88,159,3,1494879,159,False,chromosome
89,157,1,1705159,157,True,chromosome
90,155,11,155,155,False,no_label
91,153,3,1494879,153,False,chromosome
92,152,3,1494879,152,False,chromosome
93,147,2,1652037,147,False,chromosome
94,146,3,1494879,146,False,chromosome
95,145,12,145,145,False,no_label
96,145,2,1652037,145,False,chromosome
97,135,3,1494879,135,False,chromosome
98,134,13,134,134,False,no_label
99,134,3,1494879,134,False,chromosome
100,133,3,1494879,133,False,chromosome
101,124,14,124,124,False,no_label
102,122,2,1652037,122,False,chromosome
103,109,2,1652037,109,False,chromosome
104,109,3,1494879,108,False,chromosome
105,109,2,1652037,109,False,chromosome
