short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,143248,1,2367934,143248,False,chromosome
2,139491,2,383797,139491,False,chromosome
3,125654,1,2367934,125654,False,chromosome
4,119559,1,2367934,119559,False,chromosome
5,114012,1,2367934,114012,False,chromosome
6,86988,1,2367934,86988,False,chromosome
7,79333,1,2367934,79333,False,chromosome
8,78323,2,383797,78323,False,chromosome
9,74200,1,2367934,74200,False,chromosome
10,72295,1,2367934,72295,False,chromosome
11,68810,1,2367934,68810,False,chromosome
12,61295,1,2367934,61295,False,chromosome
13,60824,1,2367934,60824,False,chromosome
14,56350,2,383797,56350,False,chromosome
15,56043,1,2367934,56043,False,chromosome
16,55156,1,2367934,55156,False,chromosome
17,52150,1,2367934,52150,False,chromosome
18,46096,1,2367934,46095,False,chromosome
19,43462,1,2367934,43462,False,chromosome
20,40688,1,2367934,40688,False,chromosome
21,40259,1,2367934,40259,False,chromosome
22,38917,1,2367934,38808,False,chromosome
23,38797,1,2367934,38797,False,chromosome
24,35620,1,2367934,35620,False,chromosome
25,35557,1,2367934,35557,False,chromosome
26,32544,1,2367934,30373,False,chromosome
27,29113,2,383797,29113,False,chromosome
28,28901,1,2367934,28901,False,chromosome
29,27666,1,2367934,27666,False,chromosome
30,26017,1,2367934,26017,False,chromosome
31,26000,1,2367934,26000,False,chromosome
32,25917,1,2367934,25917,False,chromosome
33,25571,1,2367934,25571,False,chromosome
34,25436,2,383797,25433,False,chromosome
35,24437,1,2367934,24437,False,chromosome
36,24274,1,2367934,24274,False,chromosome
37,23831,1,2367934,23831,False,chromosome
38,23578,1,2367934,23578,False,chromosome
39,22474,1,2367934,22474,False,chromosome
40,21959,3,120405,21959,False,no_label
41,21405,1,2367934,16509,False,chromosome
42,20749,1,2367934,20749,False,chromosome
43,20565,1,2367934,20565,False,chromosome
44,20453,1,2367934,20453,False,chromosome
45,20080,1,2367934,20080,False,chromosome
46,19726,1,2367934,19726,False,chromosome
47,17922,1,2367934,17922,False,chromosome
48,17130,2,383797,17127,False,chromosome
49,15854,1,2367934,15854,False,chromosome
50,15829,1,2367934,15829,False,chromosome
51,15586,3,120405,8616,False,no_label
52,14615,1,2367934,14615,False,chromosome
53,13870,1,2367934,13870,False,chromosome
54,13811,1,2367934,13811,False,chromosome
55,13357,1,2367934,13357,False,chromosome
56,13349,3,120405,13349,False,no_label
57,13150,2,383797,13150,False,chromosome
58,12699,1,2367934,12699,False,chromosome
59,11622,1,2367934,11622,False,chromosome
60,11152,1,2367934,11152,False,chromosome
61,11057,1,2367934,11057,False,chromosome
62,10359,1,2367934,10359,False,chromosome
63,10224,5,52019,10224,True,plasmid
64,10184,1,2367934,10184,False,chromosome
65,9826,3,120405,9826,False,no_label
66,9511,4,55162,9511,True,plasmid
67,9396,1,2367934,9396,False,chromosome
68,9301,1,2367934,9301,False,chromosome
69,8292,1,2367934,8292,False,chromosome
70,8159,NA,NA,8159,NA,ambiguous
71,7616,NA,NA,7616,NA,ambiguous
72,7381,5,52019,7381,True,plasmid
73,6497,5,52019,6497,True,plasmid
